.id,headline,description,source,date
2,From 32-Bit to 64-Bit: Why Software Development Is Lagging ...,"""With LP64, you will get almost unlimited memory and file addressing with zero programming cost and you can blow the 2G/4G limits etc.",CIO,"Jan 29, 2009"
2,Garmin & ASUS join forces for GPS phones: nuvifone G60 coming ...,These 3G technologies are paving the way for 4G in the near future. With over 800 employees devoted to R&D and business development for ...,SlashGear,"Feb 4, 2009"
2,新型隐身材料研制成功主要用于电磁领域,【搜狐科学讯】从古代的“一叶障目”到现代的“哈利波特”，隐身都是故事中最津津乐道的一部分。它已经成为人类从古至今的一个梦想。近日，美国杜克 ...,搜狐,"Feb 5, 2009"
4,LG's Weapon: Netbooks,"SEOUL, Korea--In the U.S., consumer electronics maker LG Electronics is best known for its cellphones and flat-screen TVs. By this summer ...",Forbes,"Mar 3, 2009"
4,"Telsima, WiMAX Gear Maker Sold For Next-To-Nothing","Telsima was not only battling its own peculiar set of problems, but it also mirrors the mixed results for WiMAX in the race for 4G Wireless ...",GigaOm (blog),"Mar 4, 2009"
4,Exclusive: MetroPCS BlackBerry Curve Image and New Plan Details ...,That's a good question because this bbc is not a 4g phone and it only supports up to 3g so I wish it was a way I could know how there going to ...,PhoneNews.com (blog),"Mar 6, 2009"
4,Juniper's Cartoonist Isn't Bitter,"Somewhere in or near Bloomington, Ind., freelancer Kevin Pope is sitting down to a day of work without Juniper Networks Inc. (NYSE: JNPR).",Light Reading,"Feb 27, 2009"
4,Sprint Referral Rewards Program Skyrockets to $100 Per Referral,"Sprint this week once again renovated their Referral Rewards Program. This time, however, they have raised the referral credit dramatically.",PhoneNews.com (blog),"Mar 3, 2009"
4,Everything that you wanted to know about Tata's Nano car,Tata's Nano car is all set for it's market launch this month. Here are some frequently asked questions about the car and their answers.,DeshGujarat,"Mar 9, 2009"
4,iPhone bị ch�y cổng USB khi sạc pin,"Một người sử dụng iPhone 3G kết nối điện thoại tới máy tính và khoảng 3 tiếng sau, anh này thấy lửa cháy ở nơi tiếp giáp giữa cổng USB và ...",Thông tin công nghệ,"Mar 6, 2009"
4,施祥鹏：推动本土LED和化合物半导体技术的发展,激光器非常广泛的用于通讯领域，比如用于3G、4G通讯设备。比如带宽速度都不够时，也要用激光器。再比如红外夜视，如青藏铁路和将来高速铁路 ...,搜狐,"Mar 3, 2009"
4,"Cản trở lắp đặt BTS, người dân chịu thiệt đầu tiên","Phản ứng của người dân xuất phát từ nhiều lý do, nhưng họ đang tự từ bỏ quyền lợi của mình và làm ảnh hưởng đến nỗ lực phát triển cơ sở ...",Thông tin công nghệ,"Feb 27, 2009"
5,"iPod shuffle review: where we're going, we don't need clicks","... comes with 4GB of storage space for the same price ($79) as the 2G shuffle's 1GB. That's half of an iPhone 3G, or a low-end 4G iPod nano.",Ars Technica,"Mar 23, 2009"
5,In-car Internet coming to Cadillac soon,"However, there is some concern that within a few years this technology will be useless, once 3G and 4G cell phone networks and devices are ...",SlashGear,"Mar 19, 2009"
5,New life for twisted-pair? 500Mbps over copper wiring,... its technology can make plain copper wiring viable again from a cost perspective as operators in the US and elsewhere roll out 4G networks.,Ars Technica,"Mar 16, 2009"
5,Logic3 i-Station Rotate iPhone speaker-dock review,"The arrival of video content, particularly in the orientation-flipping iPod touch, iPhone and iPod nano 4G, demands new accommodation from ...",SlashGear,"Mar 16, 2009"
5,"Capitalism, Apple Style","I suppose they're saving that for their 4g iPhone, which will require us suckers– er, I mean AT&T iPhone customers– to shell out more money ...",New York Times (blog),"Mar 18, 2009"
5,Grandstream GXV3140 IP Phone,One of the most feature-rich phones around has to be the Grandstream GXV3140 IP Multimedia Phone. Grandstream was initially known as a ...,TMC Net (blog),"Mar 12, 2009"
6,Why Korea Isn't Rushing To 4G,Revving mobile networks from third-generation (3G) to fourth-generation (4G) technology will speed Web surfing on phones and the sharing of ...,Forbes,"Apr 3, 2009"
6,Grappling With Internet Addiction,"There are plenty of benefits to expanding access to broadband, ranging from educational to environmental gains. Increasingly, there are ...",Forbes,"Apr 3, 2009"
6,"Trango Systems Exhibits at CTIA Wireless, Showcasing its 100 ...","""With the growth and product expansion that we have achieved in recent years, along with the continued worldwide expansion of 3G, 4G, and ...",PR Web (press release),"Mar 30, 2009"
6,Samsung SWD-100 Mondi WiMAX MID accidentally confirmed,"Now known to be the Samsung Mondi, the MID has a 4.3-inch touchscreen, slide-out QWERTY keyboard and 4G WiMAX access via the Clear ...",SlashGear,"Mar 27, 2009"
6,Lenovo IdeaPad S10 Review (Update),"by Jerry Jackson. The Lenovo IdeaPad S10 is an attractive netbook that was released last year, but the makers of the ThinkPad have added a ...",NotebookReview.com,"Mar 30, 2009"
6,Clearwire CLEAR Spot portable WiMAX router,"“With CLEAR Spot, we've combined the speed and mobility of our 4G service with the ubiquity of Wi-Fi to create the best possible broadband ...",SlashGear,"Apr 1, 2009"
6,This Is How It's Done: Smart Business Moves,"That's compared to the range of a 4G LTE tower, which can reach many miles. The result is that ultra-fast 5G requires a far greater number of ...",Inc.com,"Mar 31, 2009"
6,Forrester Cuts US IT Spending Forecast: Will 2010 Show a Rebound?,"Video conferencing and next-gen (4G, 3G) networks will be a bright spot. Software vendors mostly showed revenue gains in the fourth quarter.",Seeking Alpha (blog),"Apr 1, 2009"
6,Louis CK on Internet on Planes,"I don't know how I missed this comedian's bit on Conan from 19 February: ""I was on an airplane and there was high-speed Internet on the ...",Wi-Fi Networking News,"Apr 3, 2009"
6,Ti�u chuẩn 4G thống nhất sẽ được đưa ra trong thời gian tới,Diễn đàn 4G sẽ tạo nên một tiêu chuẩn riêng trên toàn thế giới. Các tiêu chuẩn của WiMAX di động và LTE không tương thích với nhau sẽ bị ...,Thông tin công nghệ,"Apr 2, 2009"
7,Review: Memorex Mi9490 Sound System for iPod and iPhone,One of the things that almost invariably impresses us about Memorex's iPod and iPhone audio systems is their value for the dollar: with only ...,iLounge,"Apr 21, 2009"
7,Broadcom Breaks Docsis 3.0 Barrier,"Wave 65 of CableLabs 's Docsis 3.0 certification was kind to Broadcom Corp. (Nasdaq: BRCM), which finally got on the scoreboard against ...",Light Reading,"Apr 13, 2009"
7,Preview: Sidekick LX 2009,T-Mobile today announced the Sidekick LX 2009. We recently had some hands-on time with it. Read on for details and our first impressions.,Phone Scoop,"Apr 16, 2009"
7,Review: Memorex Mi4290 Clock Radio for iPod and iPhone,"Disruptingly impressive are the two words that most come to mind after testing Memorex's Mi4290 ($80), the least expensive iPhone-compatible ...",iLounge,"Apr 14, 2009"
7,苹果专利泄露iPhone准备推出运动感知功能,【搜狐IT消息】北京时间4月16日消息，据国外媒体报道，近日公布的一份苹果专利文件显示，iPhone准备推出运动感知功能，同时，专利文件也描述 ...,搜狐,"Apr 16, 2009"
7,Tăng hiệu suất m�y tính với Autoruns for Windows,Việc cài đặt và sử dụng các phần mềm mới có thể làm chậm máy tính của bạn. Một trong số các lí do là có rất nhiều phần mềm nằm ở trong thư ...,Thông tin công nghệ,"Apr 16, 2009"
7,Những vụ sáp nhập bất thành lớn nhất trong lĩnh vực CNTT-TT,Do không đạt được thỏa thuận về giá cả và một số điều khoản khác mà thương vụ IBM - Sun Microsystems trị giá 7 tỉ USD để bị đổ bể. Chúng ...,Thông tin công nghệ,"Apr 16, 2009"
8,ZTE to Supply MetroPCS with LTE Handsets,"MetroPCS is yet another mobile phone carrier in the US that is moving towards the next-generation 4G technology, and it seems that the ...",Softpedia,"Apr 29, 2009"
8,John Malone talks of his past and future: Part Three,"This is a story yet to play out, because, as 4G, or wireless broadband, comes in and becomes more potent in terms of its data-rate capacities ...",Bizjournals.com,"Apr 28, 2009"
8,Sending Cell Phones into the Cloud,"The problem with mobile phones, says Allan Knies, associate director of Intel Research at Berkeley, is that everyone wants them to perform like ...",MIT Technology Review (blog),"Apr 30, 2009"
8,"Bookham, Avanex Form Oclaro","It's official: Bookham Inc. (Nasdaq: BKHM; London: BHM) and Avanex Corp. (Nasdaq: AVNX) have combined, and the new company is called ...",Light Reading,"Apr 27, 2009"
8,"Don't Move, This Bookstand Has You Covered","For those who, from desire, habit, or necessity still read things printed on paper, the Infinitely Adjustable Reading Valet comes in mighty handy. Or should I say, ...",Inventorspot,"Apr 26, 2009"
8,Le nouveau pr�sident de l'autorité des télécoms démissionne,... à la fois par la préparation de l'essor de la quatrième génération de téléphonie mobile (4G) et par l'établissement d'un cadre règlementaire ...,Reuters,"Apr 29, 2009"
8,美国总统奥巴马用特别定制版黑莓手机,美国总统奥巴马在几个月后就可以在白宫用上他那经过特别优化、更加安全的BlackBerry 8830手机了。当前奥巴马同时使用两部手机是一部黑莓，一 ...,搜狐,"Apr 26, 2009"
9,Nokia's Gigantic App Store,"From smartphones to tablets, Wi-Fi to 3G/4G: I cover telecom & mobile. This article is more than 2 years old. Share to facebook; Share to twitter",Forbes,"May 7, 2009"
9,Atheros AR6002 makes NEC's N-06A dual-mode handset a WiFi ...,"Atheros AP Mode Enables 3G and 4G Smartphones to Bring Internet Connectivity and Content to Mobile PANs. SANTA CLARA, May 19, 2009 ...",engadget (blog),"May 19, 2009"
9,Sprint Selling MiFi 2200 Portable Wi-Fi Hotspot for Its 3G Service,Sprint recently made history by launching 4G in 2008 in Baltimore and is the first national carrier to offer wireless access to both 3G and 4G ...,Gizmodo.com,"May 13, 2009"
9,Why Sync Is So Difficult,"... whether it be cable/DSL, 3G, 4G, etc, is nowhere near ready to replicate local load times, particularly as it related to working with images and ...",GigaOm (blog),"May 10, 2009"
9,First Images of T-Mobile 3G BlackBerry Surface,The first pictures of a prototype BlackBerry model slated for T-Mobile have surfaced. Image. Images courtesy of Crackberry.com. The new ...,PhoneNews.com (blog),"May 10, 2009"
9,"Sprint Samsung Lucello Now Samsung Exclaim, Other New Phones ...",The first press images of the forthcoming Samsung Lucello which PhoneNews.com first revealed in March have been leaked along with new ...,PhoneNews.com (blog),"May 12, 2009"
9,Verizon to Launch LG Env3 on May 29th,Verizon will be launching the success or to the venerable LG enV2 multimedia and messaging device on May 29th with the LG enV3. The enV3 ...,PhoneNews.com (blog),"May 17, 2009"
10,More evidence that iPhone critical to AT&T subscriber growth,"... on Verizon as early as next year, though both Verizon and Apple contend such a move isn't likely until Verizon rolls out its 4G LTE network.",Ars Technica,"May 28, 2009"
10,M1 modernizes 2G network to prepare for a high speed mobile ...,"... an all IP network is an important step for M1 in its move towards Long Term Evolution (LTE), and will provide a smooth transition path to 4G.",WebWire (press release),"May 26, 2009"
10,NetLogic Buying Raza Microelectronics,"... have been successfully designed into next-generation 3G/4G mobile wireless infrastructure systems, high-performance switches and routers, ...",Private Equity Hub,"Jun 2, 2009"
10,"Why It's the Megabits, Not the MIPs, That Matter",He's is a believer in the 4G wireless broadband technology called Long-Term Evolution (LTE) because he knows that multimegabit wireless ...,GigaOm (blog),"May 22, 2009"
10,Hands-On With Griffin's PowerBlock Charger and Battery Pack,"When we took a look at Griffin's PowerBlock iPod and iPhone charger two weeks ago, we said it was ""almost a no-brainer"". The PowerBlock is ...",Wired Blogs (blog),"May 27, 2009"
10,Pre Screenshots and Features Detailed in New Leak,A site called PalmGoon.com has apparently managed to get their hands on a Palm Pre (or the SDK emulator) and have been posting a series ...,Palm Infocenter,"May 22, 2009"
10,AT&T U-Verse arrives in Clarksville,Clarksville Customers Get New TV Service That Ranks Highest in Customer Satisfaction in J.D. Power and Associates Study. att_u-verse ...,Clarksville Online (blog),"May 27, 2009"
12,Verizon vs. Sprint vs. AT&T,Sprint claims to have “America's most dependable 3G network.” Verizon says it has “America's largest and most reliable wireless network.,Technologizer (blog),"Jun 29, 2009"
12,Giz Explains: What AT&T's 7.2Mbps Network Really Means,"Those are the so-called 4G (fourth generation) wireless technologies. Americans can ignore HSPA+ and EV-DO Rev B. for the most part, and ...",Gizmodo.com,"Jun 19, 2009"
12,Chapter 9: Web 2.0 and Mobility,"[11] Finally, 4G, or fourth generation, is expected to provide faster, higher-quality services, including Internet Protocol (IP)-based voice, data, and ...",NetworkWorld.com,"Jun 25, 2009"
12,iPhone 3G vs 3GS Network Speed Test Shows No Real Difference,Thanks to all our Chicago readers who sent in their speed test data from their iPhone 3G and 3GS. Here's our conclusion: the 7.2Mbps AT&T's ...,Gizmodo.com,"Jun 30, 2009"
12,3 announces Nokia N97 for just �320,"Three has announced it will be picking up the new Nokia N97, complete with free Skype calls, for one of the cheapest 'pay as you go' rates.",TechRadar UK,"Jun 26, 2009"
12,Motion Computing J3400 Tablet PC with Windows 7 Build 7201 ...,Guess what I've got in my hot little hands and am inking all over? A Motion Computing J3400 Tablet PC with: Windows 7 Build 7201 (that's right ...,Gotta Be Mobile (blog),"Jun 25, 2009"
14,What motivates carriers to adopt LTE?,"What is motivating so many carriers to take on the cost of deploying the 4G technology? For some, it will be a service that augments current 3G ...",FierceWireless,"Jul 17, 2009"
14,IPill Capsule Mic for iPod,"Compatible with the iPods Nano 4G, Classic 120GB, and Touch 2G, the little capsule breaks open to reveal its jack plug, which you than shove ...",Wired Blogs (blog),"Jul 20, 2009"
14,iLuv iEA15 iPod remote adapter with VoiceOver support,"Other supported models include the iPod touch 2G, iPod nano 4G and iPod classic 120GB. Controls include volume, play/pause, track skip and ...",SlashGear,"Jul 28, 2009"
14,MiFi Developer Program launches: personal hotspot SDK released,"Novatel Wireless, Inc. is a leader in the design and development of innovative wireless broadband access solutions based on 3G and 4G ...",SlashGear,"Jul 27, 2009"
14,"AT&T Plays the B**tard Censor, Starts Blocking 4Chan's /b/? [Updated]",There are reports surfacing that suggest AT&T has begun blocking access to parts of 4chan. Oh-oh. Considering how popular its message ...,Fast Company,"Jul 27, 2009"
14,Who Makes What: GPON & WDM-PON Equipment,"This Who Makes What installment is an update to Light Reading's August 2008 Who Makes What: GPON Equipment, so it uses the same ...",Light Reading,"Jul 22, 2009"
14,Is Huawei in at Level 3?,Huawei Technologies Co. Ltd. appears to have won a significant 40-Gbit/s optical equipment deal with Level 3 Communications Inc. (NYSE: ...,Light Reading,"Jul 20, 2009"
14,"Microsoft stores to mimic Apple's with ""Guru Bars""","A leaked presentation has exposed Microsoft's tentative plans for its retail stores —and the high degree to which they'll imitate Apple stores, ...",Apple Insider,"Jul 24, 2009"
14,Palm Opening Pre Experience Center in LA Mall,Palm is preparing to open a Palm Pre Experience Center in an upscale shopping mall in Los Angeles. The center will officially open in August ...,Palm Infocenter,"Jul 28, 2009"
14,C�ng nhân Trung Quốc tự tử vì làm mất iPhone “4G”,"Một công nhân Trung Quốc bị nghi ngờ đánh cắp mẫu thử của iPhone thế hệ 4 đã nhảy lầu tự tử. Sun Danyong, 25 tuổi, là một kỹ sư mới tốt ...",Thông tin công nghệ,"Jul 22, 2009"
16,Nikon AF-S Nikkor 50mm f/1.4G review,"The Nikon produced amazingly consistent definition across its whole range. It does dip a little at f2 and f/1.4, but not by much, and the results ...",TechRadar UK,"Aug 14, 2009"
16,How long do CD-Rs last?,... $10 and a $140 HDMI cable. Straight talk about cellphone 'Gs' – How much faster is 3G than 2G? Where can you get 4G? And what is 2.5G?,Christian Science Monitor,"Aug 17, 2009"
16,A Brief History Of The BlackBerry,"From smartphones to tablets, Wi-Fi to 3G/4G: I cover telecom & mobile. This article is more than 2 years old. Share to facebook; Share to twitter",Forbes,"Aug 17, 2009"
16,Why Vodafone Is Mispriced,"Even after accounting for spending to build out its 4G network, we don't see what other uses Verizon Wireless could have for its free cash flow ...",Seeking Alpha (blog),"Aug 16, 2009"
16,LMMS: The Linux MultiMedia Studio,"For the sake of completeness: My Ubuntu Jaunty installation is a 32-bit system, and the test machine is based on a 2.4 GHz CPU with 4G ...",Linux Journal,"Aug 19, 2009"
16,First Live Images of Samsung Code for MetroPCS,"The above is the first live image of the as yet unannounced Samsung SCH-i220 Code for MetroPCS, which will be the regional flat-rate carrier's ...",PhoneNews.com (blog),"Aug 25, 2009"
16,Getting Started with Palm Pre Homebrew Apps,"Installing and finding unofficial ""homebrew"" apps for Palm webOS has recently gotten much easier thanks to new software and guides.",Palm Infocenter,"Aug 13, 2009"
16,Bokode The Future Of Barcode: An Interview With MIT Media Labs,"Last month I wrote an article about bokodes, an interesting new technology that could revolutionize everything from barcodes to street signs.",I4U,"Aug 13, 2009"
16,现代服务业——宽带无线移动互联网（WWMI）新的蓝海,摘要：本文讨论了宽带无线移动互联网（WWMI-Wideband Wireless Mobile Internet）的内涵，由来和发展。并提出现代服务业将是WWMI新的蓝海。,搜狐 (博客),"Aug 23, 2009"
16,指南：尼康D5000购买及入门镜头配置,定焦镜头中，AF-S 60mmF2.8G微距镜头，AF-S 50mmF1.4G镜头，AF-S DX 35mm F1.8G镜头都是值得推荐的优秀产品。能够充分发挥D5000的 ...,搜狐,"Aug 18, 2009"
17,Underground High-Speed Internet: Testing WiMAX in Seoul Subways,"SEOUL, South Korea--Here in the U.S., ultrafast ""4G"" WiMAX mobile networks and their promise of rip-roaring speeds and anywhere ...",Popular Mechanics,"Sep 3, 2009"
17,Clearwire (CLWR) Announces New Executive Appointments to ...,... Appointments to Support 4G Deployment Across the United States ... on Clearwire's plans to deploy its 4G WiMAX network across the United ...,StreetInsider.com,"Aug 31, 2009"
17,Very Smart Cities,"John B. Hynes III got the jitters when he first spied the mudflats of Songdo, South Korea, in June 2001. How would he transform the expanse of ...",Forbes,"Sep 3, 2009"
17,Customers Angered as iPhones Overload AT&T,"... next wave of smartphones and data demands, all the carriers are rushing to introduce the next-generation of wireless networks, called 4G.",New York Times,"Sep 2, 2009"
17,Information Technology's Challenges to Global Governance,"Today, third generation (3G) services are becoming ubiquitous, and 4G services are starting to gain ground. Broadband connectivity in the G-8 ...",World Politics Review,"Sep 1, 2009"
17,FCC Reveals HP iPAQ K3 Obsidian with US 3G for AT&T,The FCC has revealed the US version of the HP iPAQ K3 Obsidian smart device currently sold in Europe. The label reveals a listing for an ...,PhoneNews.com (blog),"Sep 1, 2009"
17,Motorola Entice W766 to Replace W755,"Rumor has it that many Verizon stores, kiosks and other authorized retailers are receiving shipments of the Motorola W766 which will be the ...",PhoneNews.com (blog),"Aug 28, 2009"
17,台IT十三罗汉“分食”王建宙,09-08-27 12:32�王建宙与联发科董事长蔡明介会谈勾勒4G... 09-08-24 18:37·台湾迎中国移动董事长王建宙13科技大佬... 09-08-21 20:43·中移动 ...,搜狐,"Sep 8, 2009"
18,Microsoft co-founder Paul Allen sells LTE spectrum to AT&T,"Here's one straight from the depths of left field. If you'll recall, Microsoft's co-founder Paul Allen was considering buying a bit of spectrum from ...",engadget (blog),"Sep 17, 2009"
18,Your own personal cell phone tower,This year marked the first time that the number of American households that chose to use only cellphones surpassed those that stuck to just ...,Christian Science Monitor,"Sep 14, 2009"
18,Motorola launch WiMAX WiFi base station & USB dongle,"For more information on Motorola's WiMAX portfolio, please visit www.motorola.com/wimax or visit us at 4G World in Hall F1, Stand #501.",SlashGear,"Sep 10, 2009"
18,2TwitMe - New Twitter App for Palm OS,Palm OS Garnet users finally have a decent Twitter application to check out thanks to MetaViewSoft. 2TwitMe is a full featured Twitter client for ...,Palm Infocenter,"Sep 14, 2009"
18,Zebra MC9500-K,"On September 15, 2009, Motorola Solutions, the enterprise division of which is now part of Zebra, introduced the MC9500 that extends the features and ...",Rugged PC Review,"Sep 15, 2009"
18,TATA DOCOMO to launch Unlimited GPRS Plans soon,"Well, this ₹82 prepaid plan from Tata DoCoMo competes with Jio's ₹98 prepaid plan that offers 2 GB of 4G data, unlimited voice calls, 300 free ...",MobiGyaan,"Sep 15, 2009"
18,Review: Altec Lansing iMT800 Mix Digital Boombox for iPhone and ...,"Stated as simply as possible, Altec Lansing's iMT800 Mix Digital Boombox for iPhone and iPod ($300) wraps beautiful speaker technology in a ...",iLounge,"Sep 15, 2009"
18,"IAA 2009: Marussia B1, B2 and SUV","Audio, video, Bluetooth, 4G Yota Internet access (only Russia) and VoIP are provided to the driver and the passenger. The third screen shows ...",GTspirit,"Sep 18, 2009"
18,Plan Details : TATA DOCOMO BlackBerry,"Well, this ₹82 prepaid plan from Tata DoCoMo competes with Jio's ₹98 prepaid plan that offers 2 GB of 4G data, unlimited voice calls, 300 free ...",MobiGyaan,"Sep 11, 2009"
18,奚国华等领导为2009年通信展题写贺词(图),展示内容涵盖信息通信行业的多个领域，突出展示3G应用、B3G、4G、TD-SCDMA自主创新和产业发展、两化融合、三网融合、信息通信与媒体融合 ...,搜狐,"Sep 14, 2009"
19,Google And Verizon's Open Marriage,"From smartphones to tablets, Wi-Fi to 3G/4G: I cover telecom & mobile. This article is more than 2 years old. Share to facebook; Share to twitter",Forbes,"Oct 6, 2009"
19,Melanie Bilenker Hair Jewelry: Artistic Accessories Made from ...,"We've seen jewelry made of human hair in the past; it's been woven, beaded, braided and been used as the main medium for many chic creations. But there's a ...",Inventorspot,"Sep 24, 2009"
19,Apple Genius says dropped AT&T calls in NYC 'consistent',A man who took his iPhone 3G in to a New York City Apple Store because of a large number of dropped calls was allegedly told that a 30 ...,Apple Insider,"Sep 30, 2009"
19,Google Finds DRAM Errors More Common Than Believed 333,"An anonymous reader writes ""A Google study of DRAM errors in their data centers found that they are hundreds to thousands of times more ...",Slashdot,"Oct 6, 2009"
19,Razr Sequel V13 Photos And Specifications Leaked,... tablets and anything mobile drive Robert to unearth the latest rumors and developments in this fast moving space. He adopted 4G as soon as ...,I4U,"Oct 1, 2009"
19,2TwitMe for Palm OS Review,"Like a senile old granny who could no longer be trusted to care for herself, dear old Palm OS was quietly shuffled off to the retirement village by ...",Palm Infocenter,"Oct 2, 2009"
19,"GSM Palm Pixi In The Wild, CDMA Shipments Predicted","Mmm, how we love the smell of leaked vision in the AM. Palm's diminutive new Pixi smartphone has surfaced in Vietnam, modeling a lovely ...",Palm Infocenter,"Oct 6, 2009"
19,上海世博会主题馆竣工创造三项世界之最,东方网记者张海盈、桑怡9月28日报道：今天，上海世博会主题馆主体建筑在经过688天日夜奋战后顺利竣工，并开始移交布展，这是上海世博会永久 ...,东方网,"Sep 27, 2009"
19,谈谈现代服务业与云计算,这几年在信息通信技术领域中，新的技术、新的关键词不断涌现，让从事ICT行业的专家、学者和科技工作者迎接不暇。仅仅围绕我们这个领域的就有 ...,搜狐 (博客),"Sep 29, 2009"
19,甬台温、温福铁路28日首发上海至福州仅5小时39分,东方网记者王丽琳、桑怡9月28日报道：今天上午7点25分，经过4年多紧张施工的甬台温、温福铁路正式试运营，东方网记者在现场看到，今天试运营 ...,东方网,"Sep 27, 2009"
20,Cisco Buys Mass-Data Movement Experts to Speed Your Smartphone,"Though Starent's worked with Verizon in the past, as well as other cell-phone companies with 3G and 4G networks and other next-gen services ...",Fast Company,"Oct 13, 2009"
20,Starent to be acquired by Cisco for $2.9B,"... subscribers on 3G and 4G networks. Once the sale is complete, Starent will become the new Mobile Internet Technology Group under Cisco, ...",Bizjournals.com,"Oct 13, 2009"
20,Green Power GP 400N Sliding iPod Speaker,"... on the manufacturers website, although it looks like the Green Power GP 400N is only available at the moment for the iPod Nano 4G. Product ...",Geeky gadgets,"Oct 15, 2009"
20,Novatel Ovation MC998D HSPA+ USB modem launches,"Novatel Wireless, Inc. is a leader in the design and development of innovative wireless broadband access solutions based on 3G and 4G ...",SlashGear,"Oct 8, 2009"
20,Futures Thinking: Asking the Question,"If you're looking at mobile technologies, you might target a point after planned roll-outs of 4G wireless networks. Regulations coming into effect, ...",Fast Company,"Oct 20, 2009"
20,"Verizon Attacks the iPhone, Hints at Upcoming Droid","Verizon may also be working with Google to develop applications for its LTE network (also known as 4G), he says. Verizon might risk damaging ...",Wired (blog),"Oct 19, 2009"
20,AT&T Announces White BlackBerry Bold,"Following up on the RIM announcement last week at CTIA, AT&T has officially announced the forthcoming launch of the white BlackBerry Bold.",PhoneNews.com,"Oct 13, 2009"
20,T-Mobile Pulls Sidekick from Sale,"Following up on the Sidekick server meltdown this weekend, T-Mobile has pulled the entire Sidekick lineup from sale online and at retail, with ...",PhoneNews.com,"Oct 12, 2009"
20,Does the Mexican Palm Pre Have a microSD Slot?,"Updated: (Palm refuses to deny, gives the standard line: ""It is Palm's policy not to comment on rumors or speculation."") Nothing like a bit of ...",Palm Infocenter,"Oct 8, 2009"
22,Will Customer Outrage Ruin Verizon's Smartphone Campaign?,"Verizon Wireless is on a roll: its Droid phones are making headlines, advertisements are getting under AT&T's skin, 4G is almost ready to roll ...",Fast Company,"Nov 12, 2009"
22,Sprint to offer BlackBerry Curve 8530 smartphone,"Sprint claims to be the first national carrier to test, launch and market 4G technology. Apart from its 3G investment, Sprint also plans to extend its 4G leadership ...",TechShout! (blog),"Nov 7, 2009"
22,"Google, Bing & Yahoo Bribe Users With Free WiFi","Eventually there will be ubiquitous WiFi/4G connectivity that will enable people out in the world to connect at higher speeds, hopefully for lower ...",Search Engine Land (blog),"Nov 10, 2009"
22,Nokia N97 Mini Unveiled in India,"... Internal Storage: 64 GB; Connectivity: Dual 4G VoLTE, Wi-Fi 802.11 ac (2.4 GHz + 5 GHz), Bluetooth 5, GPS + GLONASS, Type-C 2.0, NFC ...",MobiGyaan,"Nov 16, 2009"
22,Those left behind: The legacy of Arlington's Section 60,Larry Downing is a Reuters senior staff photographer assigned to the White House. He shares that duty with three other staff photographers.,Reuters Blogs (blog),"Nov 10, 2009"
22,Microsoft Opens Windows Marketplace for Mobile Web Portal,Microsoft has opened a dedicated web portal for the recently launched Windows Marketplace for Mobile app store which allows for app ...,PhoneNews.com,"Nov 12, 2009"
22,Equipment bags with solar technology,Equipment bags with G24 DSSC Solar technology : Mascotte Industrial Associates (Hong Kong) Limited (MIA) - subsidiary of HSI listed ...,LetsGoDigital,"Nov 9, 2009"
