.id,headline,description,source,date
98,Alcatel-Lucent flies Parrot AR.Drone 2.0 over 3280 feet using LTE ...,"... a test with an ad hoc LTE network, a USB modem and a smartphone to see just how far the remote-controlled aircraft could go on 4G.",Engadget,4 Oct 2012
98,T-Mobile to offer the Nokia Lumia 810 exclusively in the US,"An exclusive T-Mobile device, the Nokia Lumia 810, coupled with T-Mobile's Unlimited Nationwide 4G Data, gives customers a truly unlimited ...",Engadget,8 Oct 2012
98,"When will Verizon shutter its CDMA networks? 2021, maybe…","Sprint(s s) is finally shutting down Nextel's old 2G network, refarming its frequencies for 4G. Meanwhile, T-Mobile has lopped off most of its GSM ...",GigaOM,11 Oct 2012
98,"Sprint adds LG Mach, Optimus G, Samsung Galaxy Tab 2 10.1 and ...","Bold 4G LTE Lineup from Sprint Gains Four New Powerhouse Devices – Samsung Galaxy Tab 2 10.1, LG Optimus G, LG Mach and Sprint ...",Engadget,9 Oct 2012
98,Samsung Galaxy S Relay 4G Review,Samsung's added another device to their ever expanding lineup on T-Mobile with the new Galaxy S Relay 4G — complete with a slide-out ...,Android Community,5 Oct 2012
98,OpenSignal Opens Up Its API For Crowdsourcing Mobile Signal ...,And with the roll-out of LTE/4G they are going to becoming increasingly important. This is especially important in the emerging world where 4G ...,eu.techcrunch,5 Oct 2012
98,Huawei Ascend P1 LTE hands-on,"While we've seen hints of the 4G model towards the start of the year, what's landing in our hands is at least different than devices like the ...",Engadget,6 Oct 2012
98,EE To Launch UK's First LTE Network On October 30,EE (formerly known as Everything Everywhere) has announced that it will launch its new 4G service on 30 October. In a statement the company ...,AppAdvice,5 Oct 2012
99,What 4G means for business,"Behind the scenes, and for many years, the telecommunications industry has been debating how 4G, the next generation of mobile ...",Information Age,22 Oct 2012
99,How will the 4G LTE roll-out benefit your business?,A global survey of the business benefits of 4G LTE has revealed improvements to mobile working and increased innovation as advantages of ...,ComputerWeekly.com,30 Oct 2012
99,Vodafone outs Samsung Galaxy S3 and Note 2 as its first 4G phones,"The mobile network announced the news today, touting Samsung's best-selling Galaxy smartphones as leading its debut 4G smartphone ...",Inquirer,26 Oct 2012
99,"AT&T 4G to power Embedded Wireless mPERS, home monitoring","The new offering, which Embedded Wireless promises to launch at an unspecified time before the end of the year, adds 4G LTE connectivity as ...",mobihealthnews,18 Oct 2012
99,EE reveals 4G pricing: UK LTE from �36/mo,"New UK 4G carrier EE has revealed its LTE plans, with a variety of phone and mobile broadband packages as well as some added bonuses ...",SlashGear,22 Oct 2012
99,"FreedomPop ships its 4G-enabling iPod touch case, lets us nearly ...",We can stay slightly cooler-headed now that the provider is shipping its iPod touch 4G Sleeve. Shelling out $99 grafts a 4G hotspot to the back ...,Engadget,29 Oct 2012
99,"Nexus 4 'features' no 4G LTE support, Google sort of explains why","Now that we have specs and features for all these devices, we can't but wonder why the new flagship Google Nexus smartphone lacks 4G LTE ...",Android Authority,29 Oct 2012
99,Are Wireless Data Prices in the United States Too High?,T-Mobile also offers an “Unlimited Nationwide 4G” plan at $90 per month (including unlimited voice minutes) that sets the marginal price on a ...,Forbes,19 Oct 2012
99,T-Mobile Galaxy Note II capable of 4G LTE – could come in future ...,We've already been enjoying their new “faux 4G” HSPA+ capable smartphone for a few days but now we're hearing of a little surprise under the ...,Android Community,25 Oct 2012
99,Everything Everywhere rebrand to EE begins to roll out,"The company claim that 4G, which is switched on tomorrow, will offer consumers a network which is five times faster than 3G. However, their ...",The Drum,29 Oct 2012
100,4G: The business benefits,"It has been a long and somewhat slow journey to get here, but this week the UK finally saw the launch of a 4G network by mobile operator EE.",ComputerWeekly.com,1 Nov 2012
100,Ofcom sets total 4G auction reserve price of �1.3 billion,"Ofcom has announced that the total reserve price for the auctions of the 4G mobile spectrum will be set at £1.3 billion. The auction, which will ...",The Drum,12 Nov 2012
100,Sprint To Get First 4G LTE Tablet On November 11,"Sprint will begin offering its first 4G LTE tablet, the Samsung Galaxy Tab 2 10.1 on November 11. The tablet will sell for $549.99. The Galaxy ...",Hot Hardware,2 Nov 2012
100,Bluegrass Cellular starts rolling out 4G LTE network with a bit of help ...,"Naturally, Bluegrass plans on bringing LTE to more of its covered markets, with the outfit noting that it ""will continue to expand 4G LTE to ...",Engadget,5 Nov 2012
100,TP-LINK's Family of Wireless N Routers Now 4G Compatible to ...,"5, 2012 /PRNewswire/ -- TP-LINK announced today that their family of 3G/3.75G Wireless N Routers is now 4G compatible with major wireless ...",PR Newswire (press release),5 Nov 2012
100,Stacking Up Southern California's Cheap/Free 4G Wireless Providers,"A number of services have emerged in Southern California in the last few months, offering up free, or very inexpensive, 4G wireless ...",socalTech.com,2 Nov 2012
100,Nokia Talks 4G Capabilities Inside Lumia 920 and Lumia 820,“These new generation operator networks are called LTE (Long Term Evolution) or 4G/LTE. Although you may hear different people using the ...,Softpedia,1 Nov 2012
100,Verizon's 4G LTE Rollout Will Be Complete By Mid-2013 - And This ...,"On an investor call earlier this morning, Verizon Wireless CFO Fran Shammo said that the carrier's buildout of its 4G LTE network will be ...",Android Police,8 Nov 2012
100,Bootloader Unlock For Verizon HTC Droid Incredible 4G LTE Now ...,"Finally there is some great news for Verizon HTC Droid Incredible 4G LTE users. Some really cool members at XDA developers, where virtually ...",WCCFtech (blog),11 Nov 2012
100,"5 Best Sprint Phones [November, 2012]","With an up and coming 4G LTE network, an assortment of high-end smartphones, and true unlimited data plans, Sprint is certainly going to be a ...",Gotta Be Mobile,2 Nov 2012
101,"What Is 4G, And Is Your Mobile Really Getting 4G Speeds ...","Mobile carriers have been eager to boast of their “4G” connection speeds. Television advertisements, Internet ads, billboards, and more.",MakeUseOf,16 Nov 2012
101,How To Enable 4G LTE On The Google Nexus 4,"Reports surfaced this morning that the Nexus 4, Google's latest flagship Android smartphone, supports LTE via a relatively easy software hack.",TechCrunch,23 Nov 2012
101,Taiwan drafts timeline for 4G mobile services,"Taiwan unveiled its plan for the launch of super-fast 4G mobile Internet Monday, with demand for speedier services that can rapidly transfer ...",Phys.Org,26 Nov 2012
101,4G LTE networks vulnerable to easy takedown hack,"4G LTE might be a thing of beauty for mobile users who love a good and fast internet connection while on the road, but according to a ...",SlashGear,15 Nov 2012
101,Inexpensive jammers can block 4G-LTE across entire cities,"According to Virginia Tech researchers, anyone who does could effectively cripple the 4G-LTE connectivity for their entire neighborhood.",TechSpot,15 Nov 2012
101,"Amazon Kindle Fire HD review (8.9-inch, 4G LTE)","What a difference a generation makes. While the original Kindle Fire impressed, there was only one thing that really made it worth considering: ...",Engadget,21 Nov 2012
101,"Razer DeathAdder adds 4G optical sensor, available now for $69","Which makes today's refresh notable, since it brings a major update to the mouse's optical sensor -- now 4G -- that should improve accuracy ...",Engadget,20 Nov 2012
101,"Oxford Dictionaries Adds 'Deets', '4G' and 'First World Problems'","If future generations remember nothing else about us, we can be sure they'll know we loved to abbrev things. And use our smartphones.",TIME,20 Nov 2012
101,Samsung Galaxy S2 4G available from Virgin Mobile USA today,"WARREN, N.J.--(BUSINESS WIRE)--Answering customers' demands for more high-end Androids and 4G access, Virgin Mobile USA steps in ...",Android Central,15 Nov 2012
101,Verizon Wireless expanding 4G LTE service,"Verizon Wireless is expanding its 4G LTE service in the Fayetteville and Lumberton areas Thursday. The expansion will offer more than 60,000 ...",Triangle Business Journal (blog),15 Nov 2012
102,"Apple exerts more control over operators, tests LTE networks before ...",A Swisscom spokesperson told Telecoms.com that the company “only enables 4G access after testing their device on an operator's live network ...,The Next Web (blog),30 Nov 2012
102,Wireless broadband: Ready for government work?,"By contrast, 4G wireless broadband is completely IP-enabled and offers transmission speeds that are as much as 10 times faster than 3G ...",FCW.com,10 Dec 2012
102,AT&T vs. Verizon Wireless: 4G-LTE coverage,"If ever there was a ""phony war"" in mobility, this is it. The two carriers are locked in an advertising war over who has the ""most 4G"" coverage, ...",Network World,3 Dec 2012
102,LTE vs. WiMAX: Verizon claims the spoils of war in 4G battle ...,"According to TeleGeography's GlobalComms Database, Verizon Wireless overtook Clearwire as the country's—and the world's—largest 4G ...",TeleGeography,5 Dec 2012
102,"Samsung Galaxy Camera breaks cover at FCC, possibly with ...","Engadget reported Friday that a revised model EK-GC120 slipped into the FCC database this week, serving up Verizon-compatible 4G LTE on ...",TechRadar UK,30 Nov 2012
102,MetroPCS launches Samsung Galaxy Admire 4G,MetroPCS is adding a new device to its smartphone lineup. The new device is an upgrade to the Samsung Admire. It adds 4G LTE connectivity ...,Android Community,6 Dec 2012
102,iPad mini 4G Review (Verizon),"While the WiFi-only model's design begged to be included in your bag or purse, the 4G version finally has the flexibility to match.",SlashGear,3 Dec 2012
102,Cars as Mobile Hotspots: How Exactly Do Cars Use Wi-Fi?,"That\'s not exactly a bad thing — these are cars, after all, not cafes — but it means that cars are only just starting to utilize the ultrafast 4G LTE ...",Technology Guide,7 Dec 2012
102,"Like data before it, Voice over LTE presents major battery hurdles for ...","When LTE data finally made its way to smartphones, it didn't come without sacrifices. At the top of that list was battery life: the initial fleet of 4G ...",The Verge,29 Nov 2012
102,"Nokia Siemens Networks sells off its optical business, swings focus ...","Nokia Siemens Networks has long been eager to shed as much weight as it can (unfortunately, including some staff) in a bid to turn around a ...",Engadget,3 Dec 2012
103,"T-Mobile, Verizon, Sprint, AT&T all expand 4G-LTE coverage","'Tis the season to expand your network coverage. December is apparently the month to announce 4G-LTE network expansion plans, the most ...",TechSpot,20 Dec 2012
103,Sprint HTC EVO 4G LTE Jelly Bean update now available to download,"After months of waiting and watching other devices get promoted to Jelly Bean status, the HTC EVO 4G LTE is finally getting its day in the sun.",Engadget,13 Dec 2012
103,ZTE Avid 4G Announced for MetroPCS,MetroPCS has added another LTE phone to its line-up with the ZTE Avid 4G. The new ZTE Avid 4G isn't going to set anyone's hearts aflutter ...,TechnoBuffalo,20 Dec 2012
103,The 6 Best Smartphones Of 2012,"This year, possibly more than any year, has seen a dramatic shift in the way companies design, manufacture and sell smartphones and tablets.",The Next Web (blog),23 Dec 2012
103,Boost Mobile to begin data throttling in January,There's bad news if you're a heavy 4G data consumer with a contact on Boost Mobile. The company is to begin throttling your connection on ...,Android Authority,20 Dec 2012
103,Securing a tablet for web browsing in six easy steps,"A 3G or 4G data plan is the best option for security, but not all mobile services are unlimited. The next few tips will minimize your risks when you ...",Naked Security,14 Dec 2012
103,Sprint Bids For The Rest Of Clearwire To Boost Its LTE Prospects,"Moreover, the two companies already have a deal in place, according to which Sprint will be able to offload 4G LTE traffic onto Clearwire's ...",Seeking Alpha,17 Dec 2012
103,How To Install Android 4.1.2 Jelly Bean On Motorola Photon 4G ...,It has been reported that Motorola Photon 4G won't get Android 4.1 Jelly Bean update officially. But that doesn't mean that the users of the ...,International Business Times,15 Dec 2012
103,"Finally, a Coffin with Built-in Speakers and Spotify Connection","The CataPlay service then connects to the CataTomb headstone, which features a 4G wireless connection, 7-inch LCD screen that displays the ...",TIME,13 Dec 2012
103,"T-Mobile's 'Zero Down Sale' Begins Today, Offering A Selection Of ...","T-Mobile's 'Zero Down Sale' Begins Today, Offering A Selection Of 4G Devices With An Unlimited Data Plan For $0 Down Payment.",Android Police,21 Dec 2012
104,An Introduction to LTE-Advanced: The Real 4G,Download this article in .PDF format. LTE is likely the most complex wireless system ever developed. It incorporates features that could not ...,Electronic Design,8 Jan 2013
104,The Evolution Of LTE,"More than 20 years later, we're approaching true 4G with LTE-Advanced. The third generation (3G) standards were created next. Again ...",Electronic Design,8 Jan 2013
104,T-Mobile appeals with free 4G in laptops; no-contract unlimited ...,"For handset owners, T-Mobile's 4G Unlimited plan goes contract-free, allowing consumers to use the service without any commitment.",GigaOM,8 Jan 2013
104,NVIDIA announces Tegra 4 processor with 4G LTE,"Today at CES 2013, NVIDIA announces the Tegra 4 processor, which features 72 GPU cores, 4 A15 CPU cores, and a 4G LTE processor.",Android Central,6 Jan 2013
104,Review of the Sprint 4G LTE Tri-Fi Hotspot,"We took the Sprint 4G LTE Tri-Fi Hotspot with us to test the wireless device at airports, on trains, buses, and even on a 12-hour family road trip ...",Techlicious (blog),4 Jan 2013
104,"Intel, Qualcomm Hit CES: As Mobile Chip Battle Heats Up, Tech ...",LTE/4G is delivered as a silicon component called a baseband modem that pushes SoC designers to the limits of innovation to design and ...,TechCrunch,7 Jan 2013
104,Sony kickstarts joint-venture with InterDigital and licenses its patents ...,"Importantly, the agreement between the two parties also includes a patent license from InterDigital for Sony's 3G and 4G products.",The Next Web,3 Jan 2013
104,HTC and Cricket Wireless announce the HTC One SV,This new smartphone will run HTC Sense 4 on top of Android 4.0 ICS and support both 3G and 4G LTE networks. The HTC One SV features a ...,Android Authority,4 Jan 2013
104,T-Mobile Bringing Unlimited 4G Data Plan To Prepaid Starting ...,"In this age of tiered data plans, an unlimited option is increasingly hard to come by. Well, little T-Mobile is looking to attract more customers by ...",Android Police,4 Jan 2013
104,T-Mobile Confirms Monthly4G Unlimited Nationwide 4G Data Plan ...,"Just as we previewed, T-Mobile has confirmed the availability of a new Unlimited Nationwide 4G data plan for no-annual-contract customers ...",TmoNews,8 Jan 2013
105,BMW Wants To Make Your Next Car A Truly Mobile 4G LTE Hotspot,"That's what BMW has enabled, as it's rolled out a new feature that will let riders stay connected, by adding 4G LTE WiFi connectivity to its cars.",eu.techcrunch,11 Jan 2013
105,"LTE guide: what LTE is, how it works, and how it affects you","Terms like 4G and LTE have been tossed around with abandon the past year or so. Every carrier is either touting their LTE network, ...",Android Authority,10 Jan 2013
105,ZTE Avid 4G (MetroPCS),"The ZTE Avid 4G gives you a lot of horsepower for $149, and it's an ideal smartphone for heavy Web browsing on MetroPCS's low-cost network ...",PC Magazine,18 Jan 2013
